
algoritihms            x           y           z         rx        ry       rz    distance
-------------  ---------  ----------  ----------  ---------  --------  -------  ----------
Daniilidis     0.0328751  0.00868199  -0.0293937  -0.308521  0.267076  89.7522   0.044946
Horaud         0.0326959  0.00835131  -0.0292398  -0.265009  0.258412  89.7164   0.0446512
Park           0.0327117  0.00836016  -0.0292698  -0.26435   0.24693   89.7288   0.0446841
Tsai-Lenz      0.0326883  0.00835744  -0.0292448  -0.296241  0.245937  89.6816   0.0446501

name              x            y             z            rx           ry            rz     distance
------  -----------  -----------  ------------  ------------  -----------  ------------  -----------
mean    0.0327427    0.00843773   -0.029287     -0.28353      0.254589     89.7198       0.0447328
var     5.9101e-09   1.9899e-08    3.9226e-09    0.000374255  7.60142e-05   0.000649419  1.53256e-08
std     7.68772e-05  0.000141064   6.26306e-05   0.0193457    0.00871861    0.0254837    0.000123796

Daniilidis               x             y            z           rx            ry            rz     distance
------------  ------------  ------------  -----------  -----------  ------------  ------------  -----------
point0        -0.00166837   -0.871523     0.173289     1.57626       0.00858786   -1.67665      0.888585
point1        -0.000256427  -0.870633     0.171406     1.57019      -0.000347808  -1.67566      0.887345
point2        -0.00256986   -0.872982     0.167586     1.57143      -0.00927662   -1.67786      0.888926
point3        -0.00186596   -0.871757     0.171057     1.58606      -0.0022013    -1.67914      0.888383
point4        -0.00238759   -0.871066     0.170594     1.59386      -0.00652922   -1.68105      0.887617
point5        -0.00162151   -0.870911     0.166927     1.58753      -0.00343047   -1.68061      0.886765
point6         0.00191557   -0.8688       0.163073     1.58733      -0.00599683   -1.67675      0.883974
point7        -0.000961633  -0.871916     0.167034     1.58987       0.0217073    -1.66821      0.887772
point8        -0.0038928    -0.873561     0.16474      1.57183       0.000450207  -1.67411      0.888968
point9         0.000279122  -0.869301     0.170047     1.57205      -0.0222803    -1.67368      0.885777
point10       -5.32341e-05  -0.87156      0.171292     1.58994      -0.000752966  -1.67812      0.888232
point11       -0.000631408  -0.872297     0.173468     1.58901      -0.0120725    -1.67702      0.889378
point12       -0.000757976  -0.872791     0.173412     1.5831        0.000448638  -1.67608      0.889852
point13       -0.00129386   -0.872329     0.17323      1.58777      -0.010271     -1.67672      0.889364
mean          -0.00112614   -0.871531     0.169797     1.58259      -0.0029975    -1.67655      0.887924
var            1.85618e-06   1.64858e-06  1.06569e-05  6.47533e-05   9.63696e-05   9.47305e-06  2.33953e-06
std            0.00136242    0.00128397   0.00326449   0.00804694    0.0098168     0.00307783   0.00152955

Horaud               x            y            z           rx            ry            rz     distance
--------  ------------  -----------  -----------  -----------  ------------  ------------  -----------
point0    -0.0020592    -0.871529    0.173107     1.57582       0.00918995   -1.67599      0.888556
point1    -0.000698823  -0.870587    0.171384     1.56973       0.000479924  -1.67535      0.887296
point2    -0.00287174   -0.873118    0.167368     1.57101      -0.0087878    -1.67709      0.889019
point3    -0.00217203   -0.871719    0.170788     1.58586      -0.0017254    -1.67829      0.888295
point4    -0.00277582   -0.871049    0.170351     1.59359      -0.006126     -1.68018      0.887555
point5    -0.00201176   -0.870861    0.166682     1.58732      -0.00302175   -1.67973      0.886671
point6     0.00133885   -0.868647    0.162809     1.58665      -0.00549366   -1.67621      0.883774
point7    -0.0013385    -0.872313    0.167089     1.58889       0.0215497    -1.66835      0.888173
point8    -0.00393516   -0.874083    0.164951     1.571        -5.72702e-06  -1.6738       0.88952
point9     1.56153e-05  -0.869684    0.169867     1.57132      -0.0224573    -1.67301      0.886118
point10   -0.000276294  -0.871783    0.170909     1.58924      -0.00100973   -1.67745      0.888378
point11   -0.000748278  -0.872685    0.173254     1.58842      -0.0123476    -1.67626      0.889717
point12   -0.000803447  -0.873184    0.173254     1.5824        0.000140892  -1.67543      0.890207
point13   -0.00139399   -0.872718    0.173057     1.58705      -0.0105728    -1.67609      0.889712
mean      -0.00140933   -0.871711    0.169634     1.58202      -0.00287053   -1.67595      0.888071
var        1.70955e-06   2.0044e-06  1.03859e-05  6.50447e-05   9.71696e-05   8.06907e-06  2.74713e-06
std        0.0013075     0.00141577  0.00322272   0.00806503    0.00985746    0.00284061   0.00165745

Park                x             y            z           rx            ry            rz     distance
-------  ------------  ------------  -----------  -----------  ------------  ------------  -----------
point0   -0.0021418    -0.871528     0.173138     1.57563       0.00912827   -1.67621      0.888562
point1   -0.000769974  -0.870601     0.17144      1.56955       0.000327144  -1.67553      0.887321
point2   -0.00297727   -0.873081     0.167423     1.57081      -0.008819     -1.67731      0.888993
point3   -0.00227443   -0.871717     0.170813     1.58561      -0.00175207   -1.67844      0.888297
point4   -0.00286939   -0.871042     0.170372     1.59336      -0.00614009   -1.68036      0.887553
point5   -0.00213695   -0.870849     0.166711     1.58707      -0.00303678   -1.67989      0.886665
point6    0.00128427   -0.86873      0.162795     1.58655      -0.00554723   -1.67648      0.883853
point7   -0.00133601   -0.872391     0.167155     1.58904       0.0213909    -1.66855      0.888262
point8   -0.00388225   -0.874135     0.164959     1.5712       -0.000209205  -1.67389      0.889572
point9    3.77398e-05  -0.86979      0.169867     1.57137      -0.0227007    -1.67317      0.886222
point10  -0.00032755   -0.871883     0.170895     1.58915      -0.00107768   -1.67773      0.888473
point11  -0.000753072  -0.872754     0.173264     1.58841      -0.0125533    -1.67647      0.889787
point12  -0.000818233  -0.873241     0.173281     1.58242      -5.1335e-05   -1.67565      0.890268
